common_name,scientific_name,order,family,genus,species,
abbreviated wireworm,Hypnoidus abbreviatus (Say),Coleoptera,Elateridae,Hypnoidus,abbreviatus,
acacia psyllid,Acizzia uncatoides (Ferris & Klyver),Hemiptera,Psyllidae,Acizzia,uncatoides,
achemon sphinx,Eumorpha achemon (Drury),Lepidoptera,Sphingidae,Eumorpha,achemon,
acuminate scale,Kilifia acuminata (Signoret),Hemiptera,Coccidae,Kilifia,acuminata,
acute-angled fungus beetle,Cryptophagus acutangulus Gyllenhal,Coleoptera,Cryptophagidae,Cryptophagus,acutangulus,
aerial yellowjacket,Dolichovespula arenaria (Fabricius),Hymenoptera,Vespidae,Dolichovespula,arenaria,
African fig fly,Zaprionus indianus Gupta,Diptera,Drosophilidae,Zaprionus,indianus,
African mole cricket,Gryllotalpa africana Palisot de Beauvois,Orthoptera,Gryllotalpidae,Gryllotalpa,africana,
ailanthus webworm,Atteva punctella (Cramer),Lepidoptera,Yponomeutidae,Atteva,punctella,
alder bark beetle,Alniphagus aspericollis (LeConte),Coleoptera,Curculionidae,Alniphagus,aspericollis,
alder flea beetle,Altica ambiens (LeConte),Coleoptera,Chrysomelidae,Altica,ambiens,
alder spittlebug,Clastoptera obtusa (Say),Hemiptera,Cercopidae,Clastoptera,obtusa,
alfalfa blotch leafminer,Agromyza frontella (Rondani),Diptera,Agromyzidae,Agromyza,frontella,
alfalfa caterpillar,Colias eurytheme Boisduval,Lepidoptera,Pieridae,Colias,eurytheme,
alfalfa gall midge,Asphondylia websteri Felt,Diptera,Cecidomyiidae,Asphondylia,websteri,
alfalfa leafcutting bee,Megachile rotundata (Fabricius),Hymenoptera,Megachilidae,Megachile,rotundata,
alfalfa leaftier,Dichomeris acuminata (Staudinger),Lepidoptera,Gelechiidae,Dichomeris,acuminata,
alfalfa looper,Autographa californica (Speyer),Lepidoptera,Noctuidae,Autographa,californica,
alfalfa plant bug,Adelphocoris lineolatus (Goeze),Hemiptera,Miridae,Adelphocoris,lineolatus,
alfalfa seed chalcid,Bruchophagus roddi (Gussakovsky),Hymenoptera,Eurytomidae,Bruchophagus,roddi,
alfalfa snout beetle,Otiorhynchus ligustici (Linnaeus),Coleoptera,Curculionidae,Otiorhynchus,ligustici,
alfalfa webworm,Loxostege cereralis (Zeller),Lepidoptera,Crambidae,Loxostege,cereralis,
alfalfa weevil,Hypera postica (Gyllenhal),Coleoptera,Curculionidae,Hypera,postica,
alkali bee,Nomia melanderi Cockerell,Hymenoptera,Halictidae,Nomia,melanderi,
Allard’s ground cricket,Allonemobius allardi (Alexander & Thomas 1959),Orthoptera,Gryllidae  ,Allonemobius,allardi,
